# timestamp,voltage_A.real
2001-01-01 00:00:00.000 PST,32.8
2001-01-01 00:00:00.010 PST,38.1
2001-01-01 00:00:00.020 PST,70.7
2001-01-01 00:00:00.030 PST,95.1
2001-01-01 00:00:00.040 PST,11.5
2001-01-01 00:00:00.050 PST,3.0
2001-01-01 00:00:00.060 PST,3.6
2001-01-01 00:00:00.070 PST,27.8
2001-01-01 00:00:00.080 PST,73.5
2001-01-01 00:00:00.090 PST,25.6
2001-01-01 00:00:00.100 PST,38.4
2001-01-01 00:00:00.110 PST,84.0
2001-01-01 00:00:00.120 PST,27.6
2001-01-01 00:00:00.130 PST,15.4
2001-01-01 00:00:00.140 PST,52.7
2001-01-01 00:00:00.150 PST,20.4
2001-01-01 00:00:00.160 PST,7.7
2001-01-01 00:00:00.170 PST,42.3
2001-01-01 00:00:00.180 PST,84.9
2001-01-01 00:00:00.190 PST,96.5
2001-01-01 00:00:00.200 PST,67.9
2001-01-01 00:00:00.210 PST,67.8
2001-01-01 00:00:00.220 PST,85.8
2001-01-01 00:00:00.230 PST,68.9
2001-01-01 00:00:00.240 PST,64.8
2001-01-01 00:00:00.250 PST,41.1
2001-01-01 00:00:00.260 PST,80.2
2001-01-01 00:00:00.270 PST,86.5
2001-01-01 00:00:00.280 PST,64.4
2001-01-01 00:00:00.290 PST,3.2
2001-01-01 00:00:00.300 PST,5.1
2001-01-01 00:00:00.310 PST,26.3
2001-01-01 00:00:00.320 PST,23.0
2001-01-01 00:00:00.330 PST,99.7
2001-01-01 00:00:00.340 PST,28.2
2001-01-01 00:00:00.350 PST,77.9
2001-01-01 00:00:00.360 PST,19.1
2001-01-01 00:00:00.370 PST,63.4
2001-01-01 00:00:00.380 PST,78.1
2001-01-01 00:00:00.390 PST,22.1
2001-01-01 00:00:00.400 PST,73.0
2001-01-01 00:00:00.410 PST,97.7
2001-01-01 00:00:00.420 PST,24.8
2001-01-01 00:00:00.430 PST,36.1
2001-01-01 00:00:00.440 PST,66.1
2001-01-01 00:00:00.450 PST,40.8
2001-01-01 00:00:00.460 PST,70.4
2001-01-01 00:00:00.470 PST,19.9
2001-01-01 00:00:00.480 PST,93.8
2001-01-01 00:00:00.490 PST,81.2
2001-01-01 00:00:00.500 PST,98.0
2001-01-01 00:00:00.510 PST,33.1
2001-01-01 00:00:00.520 PST,1.6
2001-01-01 00:00:00.530 PST,13.9
2001-01-01 00:00:00.540 PST,65.4
2001-01-01 00:00:00.550 PST,92.0
2001-01-01 00:00:00.560 PST,32.3
2001-01-01 00:00:00.570 PST,81.0
2001-01-01 00:00:00.580 PST,60.8
2001-01-01 00:00:00.590 PST,7.4
2001-01-01 00:00:00.600 PST,14.4
2001-01-01 00:00:00.610 PST,57.6
2001-01-01 00:00:00.620 PST,51.8
2001-01-01 00:00:00.630 PST,76.0
2001-01-01 00:00:00.640 PST,71.7
2001-01-01 00:00:00.650 PST,39.7
2001-01-01 00:00:00.660 PST,23.1
2001-01-01 00:00:00.670 PST,54.2
2001-01-01 00:00:00.680 PST,6.0
2001-01-01 00:00:00.690 PST,88.3
2001-01-01 00:00:00.700 PST,60.1
2001-01-01 00:00:00.710 PST,26.9
2001-01-01 00:00:00.720 PST,43.3
2001-01-01 00:00:00.730 PST,60.1
2001-01-01 00:00:00.740 PST,43.8
2001-01-01 00:00:00.750 PST,72.8
2001-01-01 00:00:00.760 PST,80.6
2001-01-01 00:00:00.770 PST,8.2
2001-01-01 00:00:00.780 PST,7.0
2001-01-01 00:00:00.790 PST,97.9
2001-01-01 00:00:00.800 PST,4.1
2001-01-01 00:00:00.810 PST,98.8
2001-01-01 00:00:00.820 PST,86.9
2001-01-01 00:00:00.830 PST,52.2
2001-01-01 00:00:00.840 PST,10.5
2001-01-01 00:00:00.850 PST,36.8
2001-01-01 00:00:00.860 PST,13.3
2001-01-01 00:00:00.870 PST,41.1
2001-01-01 00:00:00.880 PST,1.7
2001-01-01 00:00:00.890 PST,61.8
2001-01-01 00:00:00.900 PST,87.3
