# timestamp,voltage_A.real
2001-01-01 00:00:00.000 PST,64.6
2001-01-01 00:00:00.010 PST,11.6
2001-01-01 00:00:00.020 PST,83.3
2001-01-01 00:00:00.030 PST,44.2
2001-01-01 00:00:00.040 PST,82.0
2001-01-01 00:00:00.050 PST,74.7
2001-01-01 00:00:00.060 PST,85.3
2001-01-01 00:00:00.070 PST,12.2
2001-01-01 00:00:00.080 PST,39.9
2001-01-01 00:00:00.090 PST,20.2
2001-01-01 00:00:00.100 PST,86.6
2001-01-01 00:00:00.110 PST,32.1
2001-01-01 00:00:00.120 PST,37.6
2001-01-01 00:00:00.130 PST,62.4
2001-01-01 00:00:00.140 PST,35.2
2001-01-01 00:00:00.150 PST,1.8
2001-01-01 00:00:00.160 PST,97.5
2001-01-01 00:00:00.170 PST,96.0
2001-01-01 00:00:00.180 PST,48.3
2001-01-01 00:00:00.190 PST,87.2
2001-01-01 00:00:00.200 PST,62.7
2001-01-01 00:00:00.210 PST,56.8
2001-01-01 00:00:00.220 PST,10.9
2001-01-01 00:00:00.230 PST,8.5
2001-01-01 00:00:00.240 PST,8.0
2001-01-01 00:00:00.250 PST,76.9
2001-01-01 00:00:00.260 PST,45.7
2001-01-01 00:00:00.270 PST,38.7
2001-01-01 00:00:00.280 PST,98.6
2001-01-01 00:00:00.290 PST,67.2
2001-01-01 00:00:00.300 PST,78.1
2001-01-01 00:00:00.310 PST,93.6
2001-01-01 00:00:00.320 PST,76.6
2001-01-01 00:00:00.330 PST,23.6
2001-01-01 00:00:00.340 PST,19.0
2001-01-01 00:00:00.350 PST,58.5
2001-01-01 00:00:00.360 PST,54.9
2001-01-01 00:00:00.370 PST,6.2
2001-01-01 00:00:00.380 PST,33.5
2001-01-01 00:00:00.390 PST,40.4
2001-01-01 00:00:00.400 PST,59.2
2001-01-01 00:00:00.410 PST,49.2
2001-01-01 00:00:00.420 PST,84.3
2001-01-01 00:00:00.430 PST,84.5
2001-01-01 00:00:00.440 PST,25.2
2001-01-01 00:00:00.450 PST,10.9
2001-01-01 00:00:00.460 PST,74.2
2001-01-01 00:00:00.470 PST,19.8
2001-01-01 00:00:00.480 PST,88.2
2001-01-01 00:00:00.490 PST,88.0
2001-01-01 00:00:00.500 PST,87.9
2001-01-01 00:00:00.510 PST,41.5
2001-01-01 00:00:00.520 PST,60.5
2001-01-01 00:00:00.530 PST,32.4
2001-01-01 00:00:00.540 PST,64.0
2001-01-01 00:00:00.550 PST,97.5
2001-01-01 00:00:00.560 PST,81.2
2001-01-01 00:00:00.570 PST,12.6
2001-01-01 00:00:00.580 PST,96.2
2001-01-01 00:00:00.590 PST,84.4
2001-01-01 00:00:00.600 PST,59.1
2001-01-01 00:00:00.610 PST,30.7
2001-01-01 00:00:00.620 PST,28.5
2001-01-01 00:00:00.630 PST,12.0
2001-01-01 00:00:00.640 PST,96.1
2001-01-01 00:00:00.650 PST,9.8
2001-01-01 00:00:00.660 PST,4.1
2001-01-01 00:00:00.670 PST,17.2
2001-01-01 00:00:00.680 PST,35.4
2001-01-01 00:00:00.690 PST,79.3
2001-01-01 00:00:00.700 PST,58.9
2001-01-01 00:00:00.710 PST,13.0
2001-01-01 00:00:00.720 PST,6.9
2001-01-01 00:00:00.730 PST,58.2
2001-01-01 00:00:00.740 PST,73.8
2001-01-01 00:00:00.750 PST,12.8
2001-01-01 00:00:00.760 PST,18.6
2001-01-01 00:00:00.770 PST,72.0
2001-01-01 00:00:00.780 PST,57.2
2001-01-01 00:00:00.790 PST,42.0
2001-01-01 00:00:00.800 PST,34.6
2001-01-01 00:00:00.810 PST,36.7
2001-01-01 00:00:00.820 PST,18.3
2001-01-01 00:00:00.830 PST,40.9
2001-01-01 00:00:00.840 PST,73.9
2001-01-01 00:00:00.850 PST,58.0
2001-01-01 00:00:00.860 PST,6.5
2001-01-01 00:00:00.870 PST,74.1
2001-01-01 00:00:00.880 PST,43.9
2001-01-01 00:00:00.890 PST,22.5
2001-01-01 00:00:00.900 PST,66.5
