# timestamp,voltage_A.real
2001-01-01 00:00:00.000 PST,16.6
2001-01-01 00:00:00.010 PST,4.9
2001-01-01 00:00:00.020 PST,62.2
2001-01-01 00:00:00.030 PST,4.6
2001-01-01 00:00:00.040 PST,57.1
2001-01-01 00:00:00.050 PST,58.6
2001-01-01 00:00:00.060 PST,66.3
2001-01-01 00:00:00.070 PST,41.5
2001-01-01 00:00:00.080 PST,49.9
2001-01-01 00:00:00.090 PST,9.5
2001-01-01 00:00:00.100 PST,32.3
2001-01-01 00:00:00.110 PST,4.0
2001-01-01 00:00:00.120 PST,53.5
2001-01-01 00:00:00.130 PST,82.2
2001-01-01 00:00:00.140 PST,3.6
2001-01-01 00:00:00.150 PST,95.3
2001-01-01 00:00:00.160 PST,55.7
2001-01-01 00:00:00.170 PST,58.7
2001-01-01 00:00:00.180 PST,14.2
2001-01-01 00:00:00.190 PST,63.0
2001-01-01 00:00:00.200 PST,5.4
2001-01-01 00:00:00.210 PST,90.9
2001-01-01 00:00:00.220 PST,82.4
2001-01-01 00:00:00.230 PST,34.1
2001-01-01 00:00:00.240 PST,8.2
2001-01-01 00:00:00.250 PST,96.6
2001-01-01 00:00:00.260 PST,96.7
2001-01-01 00:00:00.270 PST,97.9
2001-01-01 00:00:00.280 PST,91.1
2001-01-01 00:00:00.290 PST,40.7
2001-01-01 00:00:00.300 PST,87.0
2001-01-01 00:00:00.310 PST,87.8
2001-01-01 00:00:00.320 PST,58.5
2001-01-01 00:00:00.330 PST,76.4
2001-01-01 00:00:00.340 PST,31.9
2001-01-01 00:00:00.350 PST,33.1
2001-01-01 00:00:00.360 PST,29.6
2001-01-01 00:00:00.370 PST,18.6
2001-01-01 00:00:00.380 PST,64.4
2001-01-01 00:00:00.390 PST,19.2
2001-01-01 00:00:00.400 PST,48.6
2001-01-01 00:00:00.410 PST,91.6
2001-01-01 00:00:00.420 PST,55.9
2001-01-01 00:00:00.430 PST,98.1
2001-01-01 00:00:00.440 PST,51.2
2001-01-01 00:00:00.450 PST,6.5
2001-01-01 00:00:00.460 PST,18.3
2001-01-01 00:00:00.470 PST,51.2
2001-01-01 00:00:00.480 PST,28.0
2001-01-01 00:00:00.490 PST,99.0
2001-01-01 00:00:00.500 PST,79.5
2001-01-01 00:00:00.510 PST,97.0
2001-01-01 00:00:00.520 PST,20.9
2001-01-01 00:00:00.530 PST,43.0
2001-01-01 00:00:00.540 PST,10.3
2001-01-01 00:00:00.550 PST,71.9
2001-01-01 00:00:00.560 PST,18.9
2001-01-01 00:00:00.570 PST,65.1
2001-01-01 00:00:00.580 PST,52.3
2001-01-01 00:00:00.590 PST,49.1
2001-01-01 00:00:00.600 PST,51.3
2001-01-01 00:00:00.610 PST,7.2
2001-01-01 00:00:00.620 PST,80.2
2001-01-01 00:00:00.630 PST,55.9
2001-01-01 00:00:00.640 PST,50.1
2001-01-01 00:00:00.650 PST,94.7
2001-01-01 00:00:00.660 PST,82.7
2001-01-01 00:00:00.670 PST,5.1
2001-01-01 00:00:00.680 PST,60.7
2001-01-01 00:00:00.690 PST,32.0
2001-01-01 00:00:00.700 PST,61.2
2001-01-01 00:00:00.710 PST,71.3
2001-01-01 00:00:00.720 PST,79.2
2001-01-01 00:00:00.730 PST,75.3
2001-01-01 00:00:00.740 PST,9.5
2001-01-01 00:00:00.750 PST,7.3
2001-01-01 00:00:00.760 PST,35.8
2001-01-01 00:00:00.770 PST,82.7
2001-01-01 00:00:00.780 PST,87.4
2001-01-01 00:00:00.790 PST,90.6
2001-01-01 00:00:00.800 PST,22.2
2001-01-01 00:00:00.810 PST,48.2
2001-01-01 00:00:00.820 PST,89.0
2001-01-01 00:00:00.830 PST,1.5
2001-01-01 00:00:00.840 PST,55.0
2001-01-01 00:00:00.850 PST,54.3
2001-01-01 00:00:00.860 PST,76.5
2001-01-01 00:00:00.870 PST,11.4
2001-01-01 00:00:00.880 PST,14.7
2001-01-01 00:00:00.890 PST,43.7
2001-01-01 00:00:00.900 PST,61.6
