# timestamp,voltage_A.real
2001-01-01 00:00:00.000 PST,34.4
2001-01-01 00:00:00.010 PST,70.1
2001-01-01 00:00:00.020 PST,84.6
2001-01-01 00:00:00.030 PST,64.4
2001-01-01 00:00:00.040 PST,81.2
2001-01-01 00:00:00.050 PST,45.1
2001-01-01 00:00:00.060 PST,39.1
2001-01-01 00:00:00.070 PST,25.7
2001-01-01 00:00:00.080 PST,51.1
2001-01-01 00:00:00.090 PST,51.1
2001-01-01 00:00:00.100 PST,71.8
2001-01-01 00:00:00.110 PST,31.9
2001-01-01 00:00:00.120 PST,22.6
2001-01-01 00:00:00.130 PST,55.4
2001-01-01 00:00:00.140 PST,92.9
2001-01-01 00:00:00.150 PST,14.4
2001-01-01 00:00:00.160 PST,37.9
2001-01-01 00:00:00.170 PST,14.7
2001-01-01 00:00:00.180 PST,20.7
2001-01-01 00:00:00.190 PST,72.9
2001-01-01 00:00:00.200 PST,31.3
2001-01-01 00:00:00.210 PST,74.2
2001-01-01 00:00:00.220 PST,89.4
2001-01-01 00:00:00.230 PST,33.3
2001-01-01 00:00:00.240 PST,26.3
2001-01-01 00:00:00.250 PST,34.5
2001-01-01 00:00:00.260 PST,51.8
2001-01-01 00:00:00.270 PST,86.9
2001-01-01 00:00:00.280 PST,23.0
2001-01-01 00:00:00.290 PST,35.7
2001-01-01 00:00:00.300 PST,44.5
2001-01-01 00:00:00.310 PST,52.2
2001-01-01 00:00:00.320 PST,41.6
2001-01-01 00:00:00.330 PST,14.4
2001-01-01 00:00:00.340 PST,75.0
2001-01-01 00:00:00.350 PST,78.1
2001-01-01 00:00:00.360 PST,22.4
2001-01-01 00:00:00.370 PST,63.1
2001-01-01 00:00:00.380 PST,81.4
2001-01-01 00:00:00.390 PST,54.7
2001-01-01 00:00:00.400 PST,89.5
2001-01-01 00:00:00.410 PST,97.5
2001-01-01 00:00:00.420 PST,93.6
2001-01-01 00:00:00.430 PST,38.1
2001-01-01 00:00:00.440 PST,74.7
2001-01-01 00:00:00.450 PST,71.9
2001-01-01 00:00:00.460 PST,54.3
2001-01-01 00:00:00.470 PST,25.2
2001-01-01 00:00:00.480 PST,17.5
2001-01-01 00:00:00.490 PST,41.4
2001-01-01 00:00:00.500 PST,12.1
2001-01-01 00:00:00.510 PST,25.8
2001-01-01 00:00:00.520 PST,19.0
2001-01-01 00:00:00.530 PST,73.0
2001-01-01 00:00:00.540 PST,91.4
2001-01-01 00:00:00.550 PST,84.1
2001-01-01 00:00:00.560 PST,89.5
2001-01-01 00:00:00.570 PST,61.1
2001-01-01 00:00:00.580 PST,81.2
2001-01-01 00:00:00.590 PST,83.5
2001-01-01 00:00:00.600 PST,75.3
2001-01-01 00:00:00.610 PST,24.5
2001-01-01 00:00:00.620 PST,81.5
2001-01-01 00:00:00.630 PST,40.5
2001-01-01 00:00:00.640 PST,34.6
2001-01-01 00:00:00.650 PST,98.8
2001-01-01 00:00:00.660 PST,91.5
2001-01-01 00:00:00.670 PST,9.7
2001-01-01 00:00:00.680 PST,16.9
2001-01-01 00:00:00.690 PST,16.7
2001-01-01 00:00:00.700 PST,9.7
2001-01-01 00:00:00.710 PST,32.5
2001-01-01 00:00:00.720 PST,37.0
2001-01-01 00:00:00.730 PST,42.3
2001-01-01 00:00:00.740 PST,14.5
2001-01-01 00:00:00.750 PST,71.2
2001-01-01 00:00:00.760 PST,51.0
2001-01-01 00:00:00.770 PST,87.3
2001-01-01 00:00:00.780 PST,87.0
2001-01-01 00:00:00.790 PST,42.5
2001-01-01 00:00:00.800 PST,0.9
2001-01-01 00:00:00.810 PST,44.2
2001-01-01 00:00:00.820 PST,81.7
2001-01-01 00:00:00.830 PST,20.2
2001-01-01 00:00:00.840 PST,72.7
2001-01-01 00:00:00.850 PST,64.6
2001-01-01 00:00:00.860 PST,98.8
2001-01-01 00:00:00.870 PST,34.2
2001-01-01 00:00:00.880 PST,17.7
2001-01-01 00:00:00.890 PST,24.7
2001-01-01 00:00:00.900 PST,68.7
