# timestamp,voltage_A.real
2016-10-28 16:14:47.362 PST,86.8
2016-10-28 16:29:47.362 PST,66.5
2016-10-28 16:44:47.362 PST,65.3
2016-10-28 16:59:47.362 PST,98.7
2016-10-28 17:14:47.362 PST,6.1
2016-10-28 17:29:47.362 PST,63.6
2016-10-28 17:44:47.362 PST,51.9
2016-10-28 17:59:47.362 PST,21.6
2016-10-28 18:14:47.362 PST,8.8
2016-10-28 18:29:47.362 PST,13.8
2016-10-28 18:44:47.362 PST,21.1
2016-10-28 18:59:47.362 PST,30.2
2016-10-28 19:14:47.362 PST,26.5
2016-10-28 19:29:47.362 PST,94.8
2016-10-28 19:44:47.362 PST,84.2
2016-10-28 19:59:47.362 PST,15.6
2016-10-28 20:14:47.362 PST,48.5
2016-10-28 20:29:47.362 PST,24.6
2016-10-28 20:44:47.362 PST,66.9
2016-10-28 20:59:47.362 PST,57.6
2016-10-28 21:14:47.362 PST,72.6
2016-10-28 21:29:47.362 PST,49.4
2016-10-28 21:44:47.362 PST,86.7
2016-10-28 21:59:47.362 PST,13.1
2016-10-28 22:14:47.362 PST,88.2
2016-10-28 22:29:47.362 PST,78.1
2016-10-28 22:44:47.362 PST,19.5
2016-10-28 22:59:47.362 PST,11.0
2016-10-28 23:14:47.362 PST,22.5
2016-10-28 23:29:47.362 PST,73.4
2016-10-28 23:44:47.362 PST,36.7
2016-10-28 23:59:47.362 PST,83.8
2016-10-29 00:14:47.362 PST,60.7
2016-10-29 00:29:47.362 PST,51.6
2016-10-29 00:44:47.362 PST,80.3
2016-10-29 00:59:47.362 PST,50.8
2016-10-29 01:14:47.362 PST,4.0
2016-10-29 01:29:47.362 PST,37.8
2016-10-29 01:44:47.362 PST,21.5
2016-10-29 01:59:47.362 PST,5.8
2016-10-29 02:14:47.362 PST,44.9
2016-10-29 02:29:47.362 PST,20.1
2016-10-29 02:44:47.362 PST,12.8
2016-10-29 02:59:47.362 PST,10.0
2016-10-29 03:14:47.362 PST,53.0
2016-10-29 03:29:47.362 PST,10.4
2016-10-29 03:44:47.362 PST,61.7
2016-10-29 03:59:47.362 PST,51.1
2016-10-29 04:14:47.362 PST,45.6
2016-10-29 04:29:47.362 PST,13.8
2016-10-29 04:44:47.362 PST,35.8
2016-10-29 04:59:47.362 PST,54.9
2016-10-29 05:14:47.362 PST,63.8
2016-10-29 05:29:47.362 PST,24.7
2016-10-29 05:44:47.362 PST,96.4
2016-10-29 05:59:47.362 PST,14.0
2016-10-29 06:14:47.362 PST,79.7
2016-10-29 06:29:47.362 PST,33.8
2016-10-29 06:44:47.362 PST,50.9
2016-10-29 06:59:47.362 PST,91.9
2016-10-29 07:14:47.362 PST,54.6
2016-10-29 07:29:47.362 PST,10.2
2016-10-29 07:44:47.362 PST,46.6
2016-10-29 07:59:47.362 PST,94.1
2016-10-29 08:14:47.362 PST,48.2
2016-10-29 08:29:47.362 PST,10.3
2016-10-29 08:44:47.362 PST,83.2
2016-10-29 08:59:47.362 PST,63.6
2016-10-29 09:14:47.362 PST,49.2
2016-10-29 09:29:47.362 PST,14.5
2016-10-29 09:44:47.362 PST,94.8
2016-10-29 09:59:47.362 PST,72.1
2016-10-29 10:14:47.362 PST,63.8
2016-10-29 10:29:47.362 PST,3.7
2016-10-29 10:44:47.362 PST,19.9
2016-10-29 10:59:47.362 PST,2.9
2016-10-29 11:14:47.362 PST,82.5
2016-10-29 11:29:47.362 PST,64.0
2016-10-29 11:44:47.362 PST,85.8
2016-10-29 11:59:47.362 PST,69.4
2016-10-29 12:14:47.362 PST,52.7
2016-10-29 12:29:47.362 PST,26.2
2016-10-29 12:44:47.362 PST,28.5
2016-10-29 12:59:47.362 PST,23.8
2016-10-29 13:14:47.362 PST,84.4
2016-10-29 13:29:47.362 PST,72.0
2016-10-29 13:44:47.362 PST,16.5
2016-10-29 13:59:47.362 PST,48.4
2016-10-29 14:14:47.362 PST,79.5
2016-10-29 14:29:47.362 PST,14.1
2016-10-29 14:44:47.362 PST,80.2
2016-10-29 14:59:47.362 PST,34.3
2016-10-29 15:14:47.362 PST,23.7
2016-10-29 15:29:47.362 PST,37.6
2016-10-29 15:44:47.362 PST,5.5
2016-10-29 15:59:47.362 PST,92.4
